Labels_Count,Passive_Random,Active_Entropy,Active_Margin,Active_Committee
15,0.655,0.655,0.655,0.635
20,0.675,0.695,0.695,0.64
25,0.7,0.665,0.665,0.7
30,0.705,0.69,0.69,0.665
35,0.725,0.735,0.735,0.685
40,0.76,0.725,0.775,0.7
45,0.715,0.725,0.765,0.71
50,0.77,0.735,0.74,0.72
55,0.76,0.77,0.755,0.715
60,0.735,0.78,0.765,0.745
65,0.74,0.75,0.76,0.725
70,0.74,0.76,0.785,0.77
75,0.785,0.78,0.805,0.73
80,0.775,0.81,0.845,0.77
85,0.78,0.81,0.81,0.78
90,0.785,0.835,0.845,0.805
95,0.79,0.85,0.87,0.83
100,0.77,0.85,0.86,0.81
105,0.785,0.87,0.82,0.845
110,0.77,0.835,0.83,0.81
115,0.795,0.82,0.825,0.83
120,0.805,0.845,0.845,0.825
125,0.805,0.835,0.825,0.82
130,0.81,0.85,0.795,0.835
135,0.795,0.825,0.84,0.82
140,0.805,0.815,0.82,0.83
145,0.805,0.845,0.81,0.805
150,0.805,0.855,0.84,0.8
155,0.79,0.855,0.835,0.815
160,0.785,0.84,0.835,0.795
165,0.795,0.875,0.85,0.825
170,0.825,0.865,0.875,0.83
175,0.775,0.865,0.88,0.855
180,0.78,0.905,0.855,0.84
185,0.815,0.895,0.84,0.86
190,0.805,0.89,0.845,0.84
195,0.795,0.87,0.81,0.855
200,0.815,0.905,0.855,0.85
205,0.795,0.88,0.865,0.865
210,0.805,0.895,0.85,0.86
215,0.84,0.88,0.885,0.86
